model,action,turn,proportion,ci_low,ci_high
gpt-4,1.A,23,10.0,5.522913706067508,17.43656615049135
gpt-4,1.A,24,13.0,7.7571674272405104,20.98035144007643
gpt-4,1.A,25,9.0,4.807254000256514,16.226212852716312
gpt-4,1.A,26,15.0,9.305985283656629,23.28355959083237
gpt-4,1.A,27,10.0,5.522913706067508,17.43656615049135
gpt-4,1.A,28,17.0,10.89356611405993,25.548004767601128
gpt-4,1.A,29,12.0,6.999406437019489,19.81209942671142
gpt-4,1.A,30,10.0,5.522913706067508,17.43656615049135
gpt-4o,1.A,1,100.0,96.30065017930143,100.0
gpt-4o,1.A,2,0.0,0.0,3.6993498206985693
gpt-4o,1.A,3,1.0,0.1767432064140647,5.448619617870533
gpt-4o,1.A,4,13.0,7.7571674272405104,20.98035144007643
gpt-4o,1.A,5,11.0,6.254196357064568,18.631296503080318
gpt-4o,1.A,6,10.0,5.522913706067508,17.43656615049135
gpt-4o,1.A,7,17.0,10.89356611405993,25.548004767601128
gpt-4o,1.A,8,20.0,13.33669333310325,28.88291655931589
gpt-4o,1.A,9,16.0,10.09528848880478,24.420269389270246
gpt-4o,1.A,10,17.0,10.89356611405993,25.548004767601128
gpt-4o,1.A,11,19.0,12.514751509768734,27.778845379064375
gpt-4o,1.A,12,21.0,14.165654061915301,29.979968834089867
gpt-4o,1.A,13,10.0,5.522913706067508,17.43656615049135
gpt-4o,1.A,14,16.0,10.09528848880478,24.420269389270246
gpt-4o,1.A,15,11.0,6.254196357064568,18.631296503080318
gpt-4o,1.A,16,17.0,10.89356611405993,25.548004767601128
gpt-4o,1.A,17,22.0,15.001282384605396,31.0703535149858
gpt-4o,1.A,18,12.0,6.999406437019489,19.81209942671142
gpt-4o,1.A,19,24.0,16.691325556948776,33.23233634981448
gpt-4o,1.A,20,12.0,6.999406437019489,19.81209942671142
gpt-4o,1.A,21,20.0,13.33669333310325,28.88291655931589
gpt-4o,1.A,22,24.0,16.691325556948776,33.23233634981448
gpt-4o,1.A,23,20.0,13.33669333310325,28.88291655931589
gpt-4o,1.A,24,20.0,13.33669333310325,28.88291655931589
gpt-4o,1.A,25,17.0,10.89356611405993,25.548004767601128
gpt-4o,1.A,26,20.0,13.33669333310325,28.88291655931589
gpt-4o,1.A,27,19.0,12.514751509768734,27.778845379064375
gpt-4o,1.A,28,14.000000000000002,8.526343659939132,22.13718821096384
gpt-4o,1.A,29,26.0,18.404698464748137,35.370989449187185
gpt-4o,1.A,30,19.0,12.514751509768734,27.778845379064375
gpt-4o-mini,1.A,1,100.0,96.30065017930143,100.0
gpt-4o-mini,1.A,2,0.0,0.0,3.6993498206985693
gpt-4o-mini,1.A,3,1.0,0.1767432064140647,5.448619617870533
gpt-4o-mini,1.A,4,10.0,5.522913706067508,17.43656615049135
gpt-4o-mini,1.A,5,18.0,11.700225498946347,26.667358386300734
gpt-4o-mini,1.A,6,13.0,7.7571674272405104,20.98035144007643
gpt-4o-mini,1.A,7,16.0,10.09528848880478,24.420269389270246
gpt-4o-mini,1.A,8,9.0,4.807254000256514,16.226212852716312
gpt-4o-mini,1.A,9,13.0,7.7571674272405104,20.98035144007643
gpt-4o-mini,1.A,10,11.0,6.254196357064568,18.631296503080318
gpt-4o-mini,1.A,11,5.0,2.1543679154367967,11.175046923191914
gpt-4o-mini,1.A,12,6.0,2.7786123963188176,12.476815445895921
gpt-4o-mini,1.A,13,6.0,2.7786123963188176,12.476815445895921
gpt-4o-mini,1.A,14,6.0,2.7786123963188176,12.476815445895921
gpt-4o-mini,1.A,15,7.000000000000001,3.4319261067272664,13.749514739073504
gpt-4o-mini,1.A,16,7.000000000000001,3.4319261067272664,13.749514739073504
gpt-4o-mini,1.A,17,5.0,2.1543679154367967,11.175046923191914
gpt-4o-mini,1.A,18,8.0,4.109346148438061,14.998107700948735
gpt-4o-mini,1.A,19,3.0,1.0254524024038911,8.451936429052763
gpt-4o-mini,1.A,20,3.0,1.0254524024038911,8.451936429052763
gpt-4o-mini,1.A,21,6.0,2.7786123963188176,12.476815445895921
gpt-4o-mini,1.A,22,7.000000000000001,3.4319261067272664,13.749514739073504
gpt-4o-mini,1.A,23,2.0,0.550196755016235,7.0011790728543914
gpt-4o-mini,1.A,24,9.0,4.807254000256514,16.226212852716312
gpt-4o-mini,1.A,25,6.0,2.7786123963188176,12.476815445895921
gpt-4o-mini,1.A,26,6.0,2.7786123963188176,12.476815445895921
gpt-4o-mini,1.A,27,2.0,0.550196755016235,7.0011790728543914
gpt-4o-mini,1.A,28,5.0,2.1543679154367967,11.175046923191914
gpt-4o-mini,1.A,29,9.0,4.807254000256514,16.226212852716312
gpt-4o-mini,1.A,30,4.0,1.5663303991547604,9.837071435887923
o1,1.A,1,91.0,83.77378714728368,95.1927459997435
o1,1.A,2,5.0,2.1543679154367967,11.175046923191914
o1,1.A,3,10.0,5.522913706067508,17.43656615049135
o1,1.A,4,8.0,4.109346148438061,14.998107700948735
o1,1.A,5,11.0,6.254196357064568,18.631296503080318
o1,1.A,6,11.0,6.254196357064568,18.631296503080318
o1,1.A,7,6.0,2.7786123963188176,12.476815445895921
o1,1.A,8,15.0,9.305985283656629,23.28355959083237
o1,1.A,9,15.0,9.305985283656629,23.28355959083237
o1,1.A,10,9.0,4.807254000256514,16.226212852716312
o1,1.A,11,8.0,4.109346148438061,14.998107700948735
o1,1.A,12,2.0,0.550196755016235,7.0011790728543914
o1,1.A,13,1.0,0.1767432064140647,5.448619617870533
o1,1.A,14,8.0,4.109346148438061,14.998107700948735
o1,1.A,15,13.0,7.7571674272405104,20.98035144007643
o1,1.A,16,6.0,2.7786123963188176,12.476815445895921
o1,1.A,17,6.0,2.7786123963188176,12.476815445895921
o1,1.A,18,4.0,1.5663303991547604,9.837071435887923
o1,1.A,19,8.0,4.109346148438061,14.998107700948735
o1,1.A,20,5.0,2.1543679154367967,11.175046923191914
o1,1.A,21,6.0,2.7786123963188176,12.476815445895921
o1,1.A,22,1.0,0.1767432064140647,5.448619617870533
o1,1.A,23,5.0,2.1543679154367967,11.175046923191914
o1,1.A,24,3.0,1.0254524024038911,8.451936429052763
o1,1.A,25,3.0,1.0254524024038911,8.451936429052763
o1,1.A,26,0.0,0.0,3.6993498206985693
o1,1.A,27,3.0,1.0254524024038911,8.451936429052763
o1,1.A,28,1.0,0.1767432064140647,5.448619617870533
o1,1.A,29,1.0,0.1767432064140647,5.448619617870533
o1,1.A,30,0.0,0.0,3.6993498206985693
o1-mini,1.A,1,91.0,83.77378714728368,95.1927459997435
o1-mini,1.A,2,5.0,2.1543679154367967,11.175046923191914
o1-mini,1.A,3,0.0,0.0,3.6993498206985693
o1-mini,1.A,4,2.0,0.550196755016235,7.0011790728543914
o1-mini,1.A,5,4.0,1.5663303991547604,9.837071435887923
o1-mini,1.A,6,4.0,1.5663303991547604,9.837071435887923
o1-mini,1.A,7,3.0,1.0254524024038911,8.451936429052763
o1-mini,1.A,8,4.0,1.5663303991547604,9.837071435887923
o1-mini,1.A,9,4.0,1.5663303991547604,9.837071435887923
o1-mini,1.A,10,5.0,2.1543679154367967,11.175046923191914
o1-mini,1.A,11,5.0,2.1543679154367967,11.175046923191914
o1-mini,1.A,12,8.0,4.109346148438061,14.998107700948735
o1-mini,1.A,13,5.0,2.1543679154367967,11.175046923191914
o1-mini,1.A,14,3.0,1.0254524024038911,8.451936429052763
o1-mini,1.A,15,4.0,1.5663303991547604,9.837071435887923
o1-mini,1.A,16,3.0,1.0254524024038911,8.451936429052763
o1-mini,1.A,17,3.0,1.0254524024038911,8.451936429052763
o1-mini,1.A,18,3.0,1.0254524024038911,8.451936429052763
o1-mini,1.A,19,2.0,0.550196755016235,7.0011790728543914
o1-mini,1.A,20,0.0,0.0,3.6993498206985693
o1-mini,1.A,21,2.0,0.550196755016235,7.0011790728543914
o1-mini,1.A,22,0.0,0.0,3.6993498206985693
o1-mini,1.A,23,1.0,0.1767432064140647,5.448619617870533
o1-mini,1.A,24,0.0,0.0,3.6993498206985693
o1-mini,1.A,25,2.0,0.550196755016235,7.0011790728543914
o1-mini,1.A,26,1.0,0.1767432064140647,5.448619617870533
o1-mini,1.A,27,0.0,0.0,3.6993498206985693
o1-mini,1.A,28,0.0,0.0,3.6993498206985693
o1-mini,1.A,29,0.0,0.0,3.6993498206985693
o1-mini,1.A,30,1.0,0.1767432064140647,5.448619617870533
o3-mini,1.A,1,8.0,4.109346148438061,14.998107700948735
o3-mini,1.A,2,23.0,15.843265880303449,32.15438302287378
o3-mini,1.A,3,25.0,17.545211362287677,34.30446354806161
o3-mini,1.A,4,20.0,13.33669333310325,28.88291655931589
o3-mini,1.A,5,5.0,2.1543679154367967,11.175046923191914
o3-mini,1.A,6,6.0,2.7786123963188176,12.476815445895921
o3-mini,1.A,7,4.0,1.5663303991547604,9.837071435887923
o3-mini,1.A,8,7.000000000000001,3.4319261067272664,13.749514739073504
o3-mini,1.A,9,5.0,2.1543679154367967,11.175046923191914
o3-mini,1.A,10,9.0,4.807254000256514,16.226212852716312
o3-mini,1.A,11,10.0,5.522913706067508,17.43656615049135
o3-mini,1.A,12,9.0,4.807254000256514,16.226212852716312
o3-mini,1.A,13,8.0,4.109346148438061,14.998107700948735
o3-mini,1.A,14,9.0,4.807254000256514,16.226212852716312
o3-mini,1.A,15,8.0,4.109346148438061,14.998107700948735
o3-mini,1.A,16,2.0,0.550196755016235,7.0011790728543914
o3-mini,1.A,17,6.0,2.7786123963188176,12.476815445895921
o3-mini,1.A,18,6.0,2.7786123963188176,12.476815445895921
o3-mini,1.A,19,7.000000000000001,3.4319261067272664,13.749514739073504
o3-mini,1.A,20,8.0,4.109346148438061,14.998107700948735
o3-mini,1.A,21,6.0,2.7786123963188176,12.476815445895921
o3-mini,1.A,22,8.0,4.109346148438061,14.998107700948735
o3-mini,1.A,23,9.0,4.807254000256514,16.226212852716312
o3-mini,1.A,24,6.0,2.7786123963188176,12.476815445895921
o3-mini,1.A,25,8.0,4.109346148438061,14.998107700948735
o3-mini,1.A,26,5.0,2.1543679154367967,11.175046923191914
o3-mini,1.A,27,5.0,2.1543679154367967,11.175046923191914
o3-mini,1.A,28,7.000000000000001,3.4319261067272664,13.749514739073504
o3-mini,1.A,29,9.0,4.807254000256514,16.226212852716312
o3-mini,1.A,30,4.0,1.5663303991547604,9.837071435887923
QwQ-32B-preview,1.A,1,93.0,86.2504852609265,96.56807389327274
QwQ-32B-preview,1.A,2,25.0,17.545211362287677,34.30446354806161
QwQ-32B-preview,1.A,3,21.0,14.165654061915301,29.979968834089867
QwQ-32B-preview,1.A,4,23.0,15.843265880303449,32.15438302287378
QwQ-32B-preview,1.A,5,27.0,19.269584149576342,36.432116767945
QwQ-32B-preview,1.A,6,28.000000000000004,20.139685211186215,37.48802870992117
QwQ-32B-preview,1.A,7,32.0,23.66914732499909,41.66261861045239
QwQ-32B-preview,1.A,8,39.0,30.016874006394417,48.79698295415927
QwQ-32B-preview,1.A,9,28.000000000000004,20.139685211186215,37.48802870992117
QwQ-32B-preview,1.A,10,18.0,11.700225498946347,26.667358386300734
QwQ-32B-preview,1.A,11,28.999999999999996,21.01483574912227,38.538891175571116
QwQ-32B-preview,1.A,12,24.0,16.691325556948776,33.23233634981448
QwQ-32B-preview,1.A,13,21.0,14.165654061915301,29.979968834089867
QwQ-32B-preview,1.A,14,23.0,15.843265880303449,32.15438302287378
QwQ-32B-preview,1.A,15,19.0,12.514751509768734,27.778845379064375
QwQ-32B-preview,1.A,16,22.0,15.001282384605396,31.0703535149858
QwQ-32B-preview,1.A,17,21.0,14.165654061915301,29.979968834089867
QwQ-32B-preview,1.A,18,20.0,13.33669333310325,28.88291655931589
QwQ-32B-preview,1.A,19,20.0,13.33669333310325,28.88291655931589
QwQ-32B-preview,1.A,20,20.0,13.33669333310325,28.88291655931589
QwQ-32B-preview,1.A,21,23.0,15.843265880303449,32.15438302287378
QwQ-32B-preview,1.A,22,24.0,16.691325556948776,33.23233634981448
QwQ-32B-preview,1.A,23,22.0,15.001282384605396,31.0703535149858
QwQ-32B-preview,1.A,24,19.0,12.514751509768734,27.778845379064375
QwQ-32B-preview,1.A,25,15.0,9.305985283656629,23.28355959083237
QwQ-32B-preview,1.A,26,24.0,16.691325556948776,33.23233634981448
QwQ-32B-preview,1.A,27,23.0,15.843265880303449,32.15438302287378
QwQ-32B-preview,1.A,28,22.0,15.001282384605396,31.0703535149858
QwQ-32B-preview,1.A,29,27.0,19.269584149576342,36.432116767945
QwQ-32B-preview,1.A,30,19.0,12.514751509768734,27.778845379064375
Qwen2.5-7B-instruct,1.A,1,93.0,86.2504852609265,96.56807389327274
Qwen2.5-7B-instruct,1.A,2,4.0,1.5663303991547604,9.837071435887923
Qwen2.5-7B-instruct,1.A,3,9.0,4.807254000256514,16.226212852716312
Qwen2.5-7B-instruct,1.A,4,14.000000000000002,8.526343659939132,22.13718821096384
Qwen2.5-7B-instruct,1.A,5,4.0,1.5663303991547604,9.837071435887923
Qwen2.5-7B-instruct,1.A,6,8.0,4.109346148438061,14.998107700948735
Qwen2.5-7B-instruct,1.A,7,7.000000000000001,3.4319261067272664,13.749514739073504
Qwen2.5-7B-instruct,1.A,8,3.0,1.0254524024038911,8.451936429052763
Qwen2.5-7B-instruct,1.A,9,0.0,0.0,3.6993498206985693
Qwen2.5-7B-instruct,1.A,10,0.0,0.0,3.6993498206985693
Qwen2.5-7B-instruct,1.A,11,1.0,0.1767432064140647,5.448619617870533
Qwen2.5-7B-instruct,1.A,12,1.0,0.1767432064140647,5.448619617870533
Qwen2.5-7B-instruct,1.A,13,0.0,0.0,3.6993498206985693
Qwen2.5-7B-instruct,1.A,14,0.0,0.0,3.6993498206985693
Qwen2.5-7B-instruct,1.A,15,0.0,0.0,3.6993498206985693
Qwen2.5-7B-instruct,1.A,16,0.0,0.0,3.6993498206985693
Qwen2.5-7B-instruct,1.A,17,0.0,0.0,3.6993498206985693
Qwen2.5-7B-instruct,1.A,18,0.0,0.0,3.6993498206985693
Qwen2.5-7B-instruct,1.A,19,0.0,0.0,3.6993498206985693
Qwen2.5-7B-instruct,1.A,20,0.0,0.0,3.6993498206985693
Qwen2.5-7B-instruct,1.A,21,0.0,0.0,3.6993498206985693
Qwen2.5-7B-instruct,1.A,22,0.0,0.0,3.6993498206985693
Qwen2.5-7B-instruct,1.A,23,0.0,0.0,3.6993498206985693
Qwen2.5-7B-instruct,1.A,24,0.0,0.0,3.6993498206985693
Qwen2.5-7B-instruct,1.A,25,0.0,0.0,3.6993498206985693
Qwen2.5-7B-instruct,1.A,26,0.0,0.0,3.6993498206985693
Qwen2.5-7B-instruct,1.A,27,0.0,0.0,3.6993498206985693
Qwen2.5-7B-instruct,1.A,28,0.0,0.0,3.6993498206985693
Qwen2.5-7B-instruct,1.A,29,0.0,0.0,3.6993498206985693
Qwen2.5-7B-instruct,1.A,30,0.0,0.0,3.6993498206985693
Qwen2.5-32B-Instruct,1.A,1,97.0,91.54806357094724,98.97454759759611
Qwen2.5-32B-Instruct,1.A,2,2.0,0.550196755016235,7.0011790728543914
Qwen2.5-32B-Instruct,1.A,3,3.0,1.0254524024038911,8.451936429052763
Qwen2.5-32B-Instruct,1.A,4,4.0,1.5663303991547604,9.837071435887923
Qwen2.5-32B-Instruct,1.A,5,6.0,2.7786123963188176,12.476815445895921
Qwen2.5-32B-Instruct,1.A,6,8.0,4.109346148438061,14.998107700948735
Qwen2.5-32B-Instruct,1.A,7,12.0,6.999406437019489,19.81209942671142
Qwen2.5-32B-Instruct,1.A,8,10.0,5.522913706067508,17.43656615049135
Qwen2.5-32B-Instruct,1.A,9,7.000000000000001,3.4319261067272664,13.749514739073504
Qwen2.5-32B-Instruct,1.A,10,15.0,9.305985283656629,23.28355959083237
Qwen2.5-32B-Instruct,1.A,11,8.0,4.109346148438061,14.998107700948735
Qwen2.5-32B-Instruct,1.A,12,10.0,5.522913706067508,17.43656615049135
Qwen2.5-32B-Instruct,1.A,13,15.0,9.305985283656629,23.28355959083237
Qwen2.5-32B-Instruct,1.A,14,14.000000000000002,8.526343659939132,22.13718821096384
Qwen2.5-32B-Instruct,1.A,15,6.0,2.7786123963188176,12.476815445895921
Qwen2.5-32B-Instruct,1.A,16,11.0,6.254196357064568,18.631296503080318
Qwen2.5-32B-Instruct,1.A,17,9.0,4.807254000256514,16.226212852716312
Qwen2.5-32B-Instruct,1.A,18,6.0,2.7786123963188176,12.476815445895921
Qwen2.5-32B-Instruct,1.A,19,9.0,4.807254000256514,16.226212852716312
Qwen2.5-32B-Instruct,1.A,20,9.0,4.807254000256514,16.226212852716312
Qwen2.5-32B-Instruct,1.A,21,7.000000000000001,3.4319261067272664,13.749514739073504
Qwen2.5-32B-Instruct,1.A,22,9.0,4.807254000256514,16.226212852716312
Qwen2.5-32B-Instruct,1.A,23,13.0,7.7571674272405104,20.98035144007643
Qwen2.5-32B-Instruct,1.A,24,12.0,6.999406437019489,19.81209942671142
Qwen2.5-32B-Instruct,1.A,25,6.0,2.7786123963188176,12.476815445895921
Qwen2.5-32B-Instruct,1.A,26,6.0,2.7786123963188176,12.476815445895921
Qwen2.5-32B-Instruct,1.A,27,10.0,5.522913706067508,17.43656615049135
Qwen2.5-32B-Instruct,1.A,28,10.0,5.522913706067508,17.43656615049135
Qwen2.5-32B-Instruct,1.A,29,9.0,4.807254000256514,16.226212852716312
Qwen2.5-32B-Instruct,1.A,30,6.0,2.7786123963188176,12.476815445895921
Qwen2.5-72B-instruct,1.A,1,97.0,91.54806357094724,98.97454759759611
Qwen2.5-72B-instruct,1.A,2,2.0,0.550196755016235,7.0011790728543914
Qwen2.5-72B-instruct,1.A,3,0.0,0.0,3.6993498206985693
Qwen2.5-72B-instruct,1.A,4,1.0,0.1767432064140647,5.448619617870533
Qwen2.5-72B-instruct,1.A,5,1.0,0.1767432064140647,5.448619617870533
Qwen2.5-72B-instruct,1.A,6,6.0,2.7786123963188176,12.476815445895921
Qwen2.5-72B-instruct,1.A,7,4.0,1.5663303991547604,9.837071435887923
Qwen2.5-72B-instruct,1.A,8,10.0,5.522913706067508,17.43656615049135
Qwen2.5-72B-instruct,1.A,9,4.0,1.5663303991547604,9.837071435887923
Qwen2.5-72B-instruct,1.A,10,3.0,1.0254524024038911,8.451936429052763
Qwen2.5-72B-instruct,1.A,11,7.000000000000001,3.4319261067272664,13.749514739073504
Qwen2.5-72B-instruct,1.A,12,3.0,1.0254524024038911,8.451936429052763
Qwen2.5-72B-instruct,1.A,13,3.0,1.0254524024038911,8.451936429052763
Qwen2.5-72B-instruct,1.A,14,2.0,0.550196755016235,7.0011790728543914
Qwen2.5-72B-instruct,1.A,15,7.000000000000001,3.4319261067272664,13.749514739073504
Qwen2.5-72B-instruct,1.A,16,3.0,1.0254524024038911,8.451936429052763
Qwen2.5-72B-instruct,1.A,17,1.0,0.1767432064140647,5.448619617870533
Qwen2.5-72B-instruct,1.A,18,3.0,1.0254524024038911,8.451936429052763
Qwen2.5-72B-instruct,1.A,19,8.0,4.109346148438061,14.998107700948735
Qwen2.5-72B-instruct,1.A,20,3.0,1.0254524024038911,8.451936429052763
Qwen2.5-72B-instruct,1.A,21,5.0,2.1543679154367967,11.175046923191914
Qwen2.5-72B-instruct,1.A,22,1.0,0.1767432064140647,5.448619617870533
Qwen2.5-72B-instruct,1.A,23,5.0,2.1543679154367967,11.175046923191914
Qwen2.5-72B-instruct,1.A,24,2.0,0.550196755016235,7.0011790728543914
Qwen2.5-72B-instruct,1.A,25,3.0,1.0254524024038911,8.451936429052763
Qwen2.5-72B-instruct,1.A,26,3.0,1.0254524024038911,8.451936429052763
Qwen2.5-72B-instruct,1.A,27,1.0,0.1767432064140647,5.448619617870533
Qwen2.5-72B-instruct,1.A,28,3.0,1.0254524024038911,8.451936429052763
Qwen2.5-72B-instruct,1.A,29,1.0,0.1767432064140647,5.448619617870533
Qwen2.5-72B-instruct,1.A,30,3.0,1.0254524024038911,8.451936429052763
Llama3.3-70B-instruct,1.A,1,100.0,96.30065017930143,100.0
Llama3.3-70B-instruct,1.A,2,0.0,0.0,3.6993498206985693
Llama3.3-70B-instruct,1.A,3,0.0,0.0,3.6993498206985693
Llama3.3-70B-instruct,1.A,4,5.0,2.1543679154367967,11.175046923191914
Llama3.3-70B-instruct,1.A,5,6.0,2.7786123963188176,12.476815445895921
Llama3.3-70B-instruct,1.A,6,4.0,1.5663303991547604,9.837071435887923
Llama3.3-70B-instruct,1.A,7,10.0,5.522913706067508,17.43656615049135
Llama3.3-70B-instruct,1.A,8,5.0,2.1543679154367967,11.175046923191914
Llama3.3-70B-instruct,1.A,9,9.0,4.807254000256514,16.226212852716312
Llama3.3-70B-instruct,1.A,10,10.0,5.522913706067508,17.43656615049135
Llama3.3-70B-instruct,1.A,11,8.0,4.109346148438061,14.998107700948735
Llama3.3-70B-instruct,1.A,12,9.0,4.807254000256514,16.226212852716312
Llama3.3-70B-instruct,1.A,13,7.000000000000001,3.4319261067272664,13.749514739073504
Llama3.3-70B-instruct,1.A,14,10.0,5.522913706067508,17.43656615049135
Llama3.3-70B-instruct,1.A,15,3.0,1.0254524024038911,8.451936429052763
Llama3.3-70B-instruct,1.A,16,7.000000000000001,3.4319261067272664,13.749514739073504
Llama3.3-70B-instruct,1.A,17,10.0,5.522913706067508,17.43656615049135
Llama3.3-70B-instruct,1.A,18,9.0,4.807254000256514,16.226212852716312
Llama3.3-70B-instruct,1.A,19,8.0,4.109346148438061,14.998107700948735
Llama3.3-70B-instruct,1.A,20,8.0,4.109346148438061,14.998107700948735
Llama3.3-70B-instruct,1.A,21,13.0,7.7571674272405104,20.98035144007643
Llama3.3-70B-instruct,1.A,22,8.0,4.109346148438061,14.998107700948735
Llama3.3-70B-instruct,1.A,23,8.0,4.109346148438061,14.998107700948735
Llama3.3-70B-instruct,1.A,24,5.0,2.1543679154367967,11.175046923191914
Llama3.3-70B-instruct,1.A,25,11.0,6.254196357064568,18.631296503080318
Llama3.3-70B-instruct,1.A,26,5.0,2.1543679154367967,11.175046923191914
Llama3.3-70B-instruct,1.A,27,11.0,6.254196357064568,18.631296503080318
Llama3.3-70B-instruct,1.A,28,6.0,2.7786123963188176,12.476815445895921
Llama3.3-70B-instruct,1.A,29,13.0,7.7571674272405104,20.98035144007643
Llama3.3-70B-instruct,1.A,30,7.000000000000001,3.4319261067272664,13.749514739073504
Claude-3.5-Sonnet,2.A,1,0.0,0.0,0.0
Claude-3.5-Sonnet,2.A,2,0.0,0.0,0.0
Claude-3.5-Sonnet,2.A,3,0.0,0.0,0.0
Claude-3.5-Sonnet,2.A,4,0.0,0.0,0.0
Claude-3.5-Sonnet,2.A,5,0.0,0.0,0.0
Claude-3.5-Sonnet,2.A,6,0.0,0.0,0.0
Claude-3.5-Sonnet,2.A,7,0.0,0.0,0.0
Claude-3.5-Sonnet,2.A,8,0.0,0.0,0.0
Claude-3.5-Sonnet,2.A,9,0.0,0.0,0.0
Claude-3.5-Sonnet,2.A,10,0.0,0.0,0.0
Claude-3.5-Sonnet,2.A,11,0.0,0.0,0.0
Claude-3.5-Sonnet,2.A,12,0.0,0.0,0.0
Claude-3.5-Sonnet,2.A,13,0.0,0.0,0.0
Claude-3.5-Sonnet,2.A,14,0.0,0.0,0.0
Claude-3.5-Sonnet,2.A,15,0.0,0.0,0.0
Claude-3.5-Sonnet,2.A,16,0.0,0.0,0.0
Claude-3.5-Sonnet,2.A,17,0.0,0.0,0.0
Claude-3.5-Sonnet,2.A,18,0.0,0.0,0.0
Claude-3.5-Sonnet,2.A,19,0.0,0.0,0.0
Claude-3.5-Sonnet,2.A,20,0.0,0.0,0.0
Claude-3.5-Sonnet,2.A,21,0.0,0.0,0.0
Claude-3.5-Sonnet,2.A,22,0.0,0.0,0.0
Claude-3.5-Sonnet,2.A,23,0.0,0.0,0.0
Claude-3.5-Sonnet,2.A,24,0.0,0.0,0.0
Claude-3.5-Sonnet,2.A,25,0.0,0.0,0.0
Claude-3.5-Sonnet,2.A,26,0.0,0.0,0.0
Claude-3.5-Sonnet,2.A,27,0.0,0.0,0.0
Claude-3.5-Sonnet,2.A,28,0.0,0.0,0.0
Claude-3.5-Sonnet,2.A,29,0.0,0.0,0.0
Claude-3.5-Sonnet,2.A,30,0.0,0.0,0.0
gpt-4,2.A,1,0.0,0.0,3.6993498206985693
gpt-4,2.A,2,2.0,0.550196755016235,7.0011790728543914
